label,text
scam,Limited time offer! 90% OFF only today. Send advance payment now.
normal,Your order has been shipped and will arrive tomorrow.
scam,Congratulations! You won a free iPhone. Click here to claim.
normal,We have scheduled your appointment for 3 PM tomorrow.
scam,Hurry! Last chance to get 80% discount. Pay now!
normal,Thank you for your purchase. Receipt sent to your email.
scam,Instant cash loan available. No documents needed. DM now.
normal,Your subscription has been renewed successfully.
scam,Act fast! Only 2 slots left. Full payment upfront required.
normal,Your feedback is important to us. Please rate your experience.
scam,100% guarantee or money back. Send payment via UPI.
normal,Welcome to our store. Browse our latest collection.
scam,Emergency sale! Everything 70% off. Limited stock.
normal,Order confirmed. Expected delivery by Friday.
scam,No risk investment opportunity. Invest today for tomorrow.
normal,Thank you for subscribing to our newsletter.
scam,Only today! Buy 1 get 1 free. Rush order now!
normal,Payment received. Product dispatched.
scam,Double your money in 7 days. Guaranteed returns.
normal,Customer service available 24/7 for your queries.
scam,Only 2 hours left! Grab now or miss forever.
scam,Emergency discount! Everything 75% off.
scam,"Huge price drop! Limited quantity, buy now."
scam,Don't miss out! Special offer ends tonight.
scam,Claim your reward! Click the link immediately.
scam,Your account is compromised. Verify credentials now.
scam,Unclaimed funds detected. Urgent action required.
scam,Investment opportunity: guaranteed 200% return.
scam,Win a luxury vacation! Enter your details here.
scam,Immediate payment required to avoid penalties.
normal,Thank you for shopping with us.
normal,Your account has been updated successfully.
normal,Your package is out for delivery.
normal,We appreciate your feedback on our services.
normal,Meeting scheduled for tomorrow at 10 AM.
normal,Here is your monthly statement.
normal,Subscription confirmed for the next year.
normal,Your recent transaction was successful.
normal,Customer support is available 24/7.
normal,Please review our updated privacy policy.
scam,Only 2 hours left! Grab now or miss forever.
scam,Emergency discount! Everything 75% off.
scam,"Huge price drop! Limited quantity, buy now."
scam,Don't miss out! Special offer ends tonight.
scam,Claim your reward! Click the link immediately.
scam,Your account is compromised. Verify credentials now.
scam,Unclaimed funds detected. Urgent action required.
scam,Investment opportunity: guaranteed 200% return.
scam,Win a luxury vacation! Enter your details here.
scam,Immediate payment required to avoid penalties.
normal,Thank you for shopping with us.
normal,Your account has been updated successfully.
normal,Your package is out for delivery.
normal,We appreciate your feedback on our services.
normal,Meeting scheduled for tomorrow at 10 AM.
normal,Here is your monthly statement.
normal,Subscription confirmed for the next year.
normal,Your recent transaction was successful.
normal,Customer support is available 24/7.
normal,Please review our updated privacy policy.
scam,Only 2 hours left! Grab now or miss forever.
scam,Emergency discount! Everything 75% off.
scam,"Huge price drop! Limited quantity, buy now."
scam,Don't miss out! Special offer ends tonight.
scam,Claim your reward! Click the link immediately.
scam,Your account is compromised. Verify credentials now.
scam,Unclaimed funds detected. Urgent action required.
scam,Investment opportunity: guaranteed 200% return.
scam,Win a luxury vacation! Enter your details here.
scam,Immediate payment required to avoid penalties.
normal,Thank you for shopping with us.
normal,Your account has been updated successfully.
normal,Your package is out for delivery.
normal,We appreciate your feedback on our services.
normal,Meeting scheduled for tomorrow at 10 AM.
normal,Here is your monthly statement.
normal,Subscription confirmed for the next year.
normal,Your recent transaction was successful.
normal,Customer support is available 24/7.
normal,Please review our updated privacy policy.
